order_id,product_id,customer_id,price,shipping_date,order_date,product_name,product_category,manufacturing_city,size,color,SKU
654498,38675,5687,255.56,2023-04-13,2023-02-25,Product_19,Toys,Brisbane,Large,White,SKU-7514
776523,87282,2530,849.21,2023-12-15,2023-03-01,Product_10,Furniture,Perth,Large,Black,SKU-1234
775878,86012,4771,896.2,2023-09-28,2023-05-18,Product_15,Toys,Brisbane,Large,Green,SKU-6786
181081,49093,4199,456.21,2023-04-17,2023-02-08,Product_7,Clothing,Brisbane,Small,Gray,SKU-5096
928572,88034,5656,238.19,2023-03-13,2023-01-28,Product_9,Electronics,Sydney,Small,White,SKU-7753
242039,39346,5771,237.64,2023-07-08,2023-02-18,Product_12,Toys,Adelaide,Small,Black,SKU-6771
579168,23818,7830,254.93,2023-01-21,2023-05-05,Product_5,Sports,Adelaide,Medium,Blue,SKU-9136
337266,20102,9625,697.77,2023-04-13,2023-01-13,Product_16,Toys,Perth,Medium,Black,SKU-6665
282127,33671,4358,409.96,2023-05-02,2023-02-05,Product_6,Electronics,Adelaide,Medium,Gray,SKU-1513
180221,24926,6487,772.61,2023-08-03,2023-04-11,Product_11,Appliances,Melbourne,Large,Black,SKU-8500
730682,38675,6406,816.96,2023-11-27,2023-10-09,Product_19,Toys,Brisbane,Large,White,SKU-7514
233411,87282,6945,544.41,2023-03-29,2023-03-27,Product_10,Furniture,Perth,Large,Black,SKU-1234
446781,87282,3056,267.08,2023-04-10,2023-01-04,Product_10,Furniture,Perth,Large,Black,SKU-1234
793956,36035,4475,923.06,2023-12-26,2023-08-11,Product_8,Appliances,Brisbane,Large,Black,SKU-7311
923884,33671,3948,890.51,2023-06-01,2023-12-04,Product_6,Electronics,Adelaide,Medium,Gray,SKU-1513
185060,87282,9428,61.39,2023-05-11,2023-06-15,Product_10,Furniture,Perth,Large,Black,SKU-1234
905842,24926,7448,174.84,2023-05-30,2023-12-10,Product_11,Appliances,Melbourne,Large,Black,SKU-8500
600649,49093,1433,754.82,2023-11-05,2023-10-05,Product_7,Clothing,Brisbane,Small,Gray,SKU-5096
307673,60719,6298,331.67,2023-09-15,2023-05-10,Product_17,Toys,Perth,Small,Red,SKU-8214
156200,88034,2680,410.57,2023-12-10,2023-01-31,Product_9,Electronics,Sydney,Small,White,SKU-7753
916988,59269,1367,726.33,2023-10-21,2023-01-11,Product_20,Appliances,Melbourne,Small,Black,SKU-8474
174769,87282,9066,485.08,2023-07-11,2023-10-29,Product_10,Furniture,Perth,Large,Black,SKU-1234
147891,60719,2941,347.6,2023-10-04,2023-04-06,Product_17,Toys,Perth,Small,Red,SKU-8214
216907,49093,3977,509.56,2023-06-10,2023-07-09,Product_7,Clothing,Brisbane,Small,Gray,SKU-5096
215634,38675,5105,23.24,2023-11-10,2023-07-11,Product_19,Toys,Brisbane,Large,White,SKU-7514
872299,87282,4781,905.39,2023-01-22,2023-09-23,Product_10,Furniture,Perth,Large,Black,SKU-1234
811618,86012,8779,626.04,2023-09-10,2023-05-08,Product_15,Toys,Brisbane,Large,Green,SKU-6786
457188,86012,2694,964.07,2023-08-24,2023-08-26,Product_15,Toys,Brisbane,Large,Green,SKU-6786
644664,81708,7837,242.83,2023-12-11,2023-04-22,Product_3,Electronics,Brisbane,Medium,Blue,SKU-8744
162516,60719,1002,54.18,2023-02-18,2023-11-12,Product_17,Toys,Perth,Small,Red,SKU-8214
508108,68926,4403,799.18,2023-02-28,2023-12-09,Product_2,Furniture,Adelaide,Small,White,SKU-2433
275402,38675,2581,697.79,2023-06-19,2023-05-25,Product_19,Toys,Brisbane,Large,White,SKU-7514
963196,33671,9698,225.3,2023-07-07,2023-03-06,Product_6,Electronics,Adelaide,Medium,Gray,SKU-1513
410550,33671,4245,20.1,2023-09-28,2023-09-04,Product_6,Electronics,Adelaide,Medium,Gray,SKU-1513
337538,20102,1178,890.76,2023-07-09,2023-08-11,Product_16,Toys,Perth,Medium,Black,SKU-6665
737241,20102,7475,281.79,2023-06-24,2023-11-09,Product_16,Toys,Perth,Medium,Black,SKU-6665
841963,39346,5815,361.29,2023-02-20,2023-04-16,Product_12,Toys,Adelaide,Small,Black,SKU-6771
421559,23818,2138,19.01,2023-12-30,2023-06-30,Product_5,Sports,Adelaide,Medium,Blue,SKU-9136
457082,60719,4546,467.95,2023-02-24,2023-07-03,Product_17,Toys,Perth,Small,Red,SKU-8214
784173,20102,8581,28.08,2023-09-01,2023-08-14,Product_16,Toys,Perth,Medium,Black,SKU-6665
114103,88034,7516,160.32,2023-11-16,2023-09-22,Product_9,Electronics,Sydney,Small,White,SKU-7753
903420,36035,5662,516.12,2023-05-11,2023-10-05,Product_8,Appliances,Brisbane,Large,Black,SKU-7311
606686,88034,2510,222.09,2023-11-03,2023-03-30,Product_9,Electronics,Sydney,Small,White,SKU-7753
158898,39346,9723,222.28,2023-05-15,2023-06-25,Product_12,Toys,Adelaide,Small,Black,SKU-6771
879007,59269,5212,824.14,2023-01-21,2023-01-18,Product_20,Appliances,Melbourne,Small,Black,SKU-8474
886479,33671,5478,859.84,2023-11-25,2023-04-16,Product_6,Electronics,Adelaide,Medium,Gray,SKU-1513
448940,60719,7234,124.73,2023-06-16,2023-09-28,Product_17,Toys,Perth,Small,Red,SKU-8214
400260,86012,5921,31.68,2023-10-01,2023-11-15,Product_15,Toys,Brisbane,Large,Green,SKU-6786
601015,68926,4054,645.48,2023-03-30,2023-06-16,Product_2,Furniture,Adelaide,Small,White,SKU-2433
256296,36035,7467,789.72,2023-11-12,2023-01-13,Product_8,Appliances,Brisbane,Large,Black,SKU-7311
