order_id,product_id,customer_id,price,shipping_date,order_date
654498,38675,5687,255.56,2023-04-13,2023-02-25
776523,87282,2530,849.21,2023-12-15,2023-03-01
775878,86012,4771,896.2,2023-09-28,2023-05-18
181081,49093,4199,456.21,2023-04-17,2023-02-08
928572,88034,5656,238.19,2023-03-13,2023-01-28
242039,39346,5771,237.64,2023-07-08,2023-02-18
579168,23818,7830,254.93,2023-01-21,2023-05-05
337266,20102,9625,697.77,2023-04-13,2023-01-13
282127,33671,4358,409.96,2023-05-02,2023-02-05
180221,24926,6487,772.61,2023-08-03,2023-04-11
730682,38675,6406,816.96,2023-11-27,2023-10-09
233411,87282,6945,544.41,2023-03-29,2023-03-27
446781,87282,3056,267.08,2023-04-10,2023-01-04
793956,36035,4475,923.06,2023-12-26,2023-08-11
923884,33671,3948,890.51,2023-06-01,2023-12-04
185060,87282,9428,61.39,2023-05-11,2023-06-15
905842,24926,7448,174.84,2023-05-30,2023-12-10
600649,49093,1433,754.82,2023-11-05,2023-10-05
307673,60719,6298,331.67,2023-09-15,2023-05-10
156200,88034,2680,410.57,2023-12-10,2023-01-31
916988,59269,1367,726.33,2023-10-21,2023-01-11
174769,87282,9066,485.08,2023-07-11,2023-10-29
147891,60719,2941,347.6,2023-10-04,2023-04-06
216907,49093,3977,509.56,2023-06-10,2023-07-09
215634,38675,5105,23.24,2023-11-10,2023-07-11
872299,87282,4781,905.39,2023-01-22,2023-09-23
811618,86012,8779,626.04,2023-09-10,2023-05-08
457188,86012,2694,964.07,2023-08-24,2023-08-26
644664,81708,7837,242.83,2023-12-11,2023-04-22
162516,60719,1002,54.18,2023-02-18,2023-11-12
508108,68926,4403,799.18,2023-02-28,2023-12-09
275402,38675,2581,697.79,2023-06-19,2023-05-25
963196,33671,9698,225.3,2023-07-07,2023-03-06
410550,33671,4245,20.1,2023-09-28,2023-09-04
337538,20102,1178,890.76,2023-07-09,2023-08-11
737241,20102,7475,281.79,2023-06-24,2023-11-09
841963,39346,5815,361.29,2023-02-20,2023-04-16
421559,23818,2138,19.01,2023-12-30,2023-06-30
457082,60719,4546,467.95,2023-02-24,2023-07-03
784173,20102,8581,28.08,2023-09-01,2023-08-14
114103,88034,7516,160.32,2023-11-16,2023-09-22
903420,36035,5662,516.12,2023-05-11,2023-10-05
606686,88034,2510,222.09,2023-11-03,2023-03-30
158898,39346,9723,222.28,2023-05-15,2023-06-25
879007,59269,5212,824.14,2023-01-21,2023-01-18
886479,33671,5478,859.84,2023-11-25,2023-04-16
448940,60719,7234,124.73,2023-06-16,2023-09-28
400260,86012,5921,31.68,2023-10-01,2023-11-15
601015,68926,4054,645.48,2023-03-30,2023-06-16
256296,36035,7467,789.72,2023-11-12,2023-01-13
690861,88034,4052,909.0,2023-01-14,2023-12-03
852475,36035,4694,981.83,2023-08-30,2023-02-01
942268,86012,6479,133.34,2023-09-22,2023-02-09
995555,36035,3903,242.27,2023-12-12,2023-05-28
408835,81708,3661,51.54,2023-02-22,2023-08-06
456251,38675,3137,253.76,2023-12-06,2023-08-07
519240,39346,1779,283.71,2023-04-02,2023-03-23
122499,24926,1178,570.62,2023-09-21,2023-11-29
804768,36035,6850,749.31,2023-02-04,2023-07-27
923667,36035,8248,479.77,2023-07-25,2023-07-20
282355,60719,1205,212.45,2023-03-22,2023-11-28
924621,23818,9890,918.09,2023-02-19,2023-02-07
174711,59269,7536,808.48,2023-12-26,2023-07-30
305573,36035,2118,719.16,2023-01-02,2023-11-23
300874,33671,3353,640.02,2023-02-23,2023-09-06
551544,20102,1388,54.46,2023-04-16,2023-08-15
471876,38675,8875,535.59,2023-09-17,2023-02-17
116143,38675,6945,393.47,2023-11-06,2023-01-18
731835,39346,6003,874.64,2023-07-10,2023-10-22
213769,36035,6008,817.3,2023-08-06,2023-07-15
462405,60719,5167,536.76,2023-02-13,2023-07-06
507935,88034,4578,602.54,2023-06-11,2023-12-11
414776,23818,1459,605.92,2023-07-21,2023-08-12
585613,20102,6887,673.11,2023-09-27,2023-11-14
459146,86012,9028,705.54,2023-12-17,2023-12-03
728468,88034,8483,384.37,2023-10-31,2023-08-17
193326,81708,2734,419.91,2023-09-28,2023-03-18
394952,60719,5653,574.51,2023-08-03,2023-07-07
228019,24926,4463,533.01,2023-09-09,2023-12-12
893896,60719,4799,478.62,2023-07-09,2023-09-27
725698,59269,1089,346.0,2023-10-23,2023-04-05
294328,33671,6192,981.32,2023-08-01,2023-11-06
308710,24926,6294,793.07,2023-07-27,2023-05-12
879173,24926,2979,730.29,2023-08-25,2023-02-08
583209,88034,4344,509.3,2023-12-04,2023-03-13
375893,23818,9870,60.94,2023-02-22,2023-10-08
261102,39346,8996,195.13,2023-10-07,2023-11-29
463973,86012,7827,147.77,2023-08-05,2023-06-09
388396,59269,9280,223.71,2023-09-09,2023-07-06
428943,49093,7211,173.77,2023-07-07,2023-07-10
266734,38675,4352,43.79,2023-02-10,2023-04-30
929754,23818,6223,926.19,2023-06-06,2023-08-08
125485,23818,7209,365.13,2023-01-15,2023-02-22
674329,60719,6750,288.78,2023-10-28,2023-08-10
255867,20102,3678,377.2,2023-03-06,2023-05-11
147783,86012,9145,541.95,2023-12-11,2023-08-25
162661,33671,5940,813.56,2023-11-23,2023-09-03
427009,81708,7275,898.2,2023-01-09,2023-08-14
313901,86012,3812,443.92,2023-12-10,2023-07-27
763238,39346,4622,307.99,2023-05-09,2023-04-06
460470,38675,7776,50.29,2023-05-16,2023-07-19
420030,23818,8600,692.45,2023-03-04,2023-09-04
313655,88034,4685,199.17,2023-05-19,2023-03-13
546059,38675,9910,760.47,2023-03-22,2023-11-14
577513,87282,3312,984.97,2023-06-12,2023-07-04
926230,49093,8466,338.82,2023-10-16,2023-01-06
315626,87282,8183,334.27,2023-09-18,2023-07-25
310513,24926,1711,575.34,2023-08-19,2023-02-01
606620,33671,2918,727.07,2023-02-10,2023-04-09
860106,59269,2816,484.12,2023-01-28,2023-09-13
494680,20102,2260,965.46,2023-05-15,2023-07-06
100316,59269,4034,321.63,2023-07-20,2023-03-17
648159,39346,4704,819.59,2023-11-24,2023-06-26
435728,87282,1599,230.6,2023-09-25,2023-11-11
266858,24926,9999,40.72,2023-02-02,2023-10-14
208356,24926,1230,824.5,2023-02-17,2023-12-15
196859,33671,6867,485.63,2023-03-03,2023-09-12
654610,60719,2477,859.12,2023-08-04,2023-11-21
916480,20102,3756,90.68,2023-10-20,2023-07-09
392040,60719,9865,692.0,2023-04-09,2023-11-04
323876,60719,2705,15.09,2023-06-21,2023-12-11
340469,33671,1574,481.21,2023-12-26,2023-05-07
441114,33671,1230,363.66,2023-08-02,2023-10-14
274929,23818,8401,297.87,2023-02-04,2023-09-11
516216,81708,9687,961.83,2023-08-15,2023-08-01
656723,36035,8175,15.67,2023-04-11,2023-09-07
271201,86012,6468,380.07,2023-05-11,2023-03-25
333355,38675,4954,526.01,2023-09-14,2023-01-13
417862,60719,2430,379.85,2023-01-05,2023-02-14
710488,39346,9647,305.71,2023-08-06,2023-05-07
694812,87282,8020,543.51,2023-09-12,2023-04-24
308803,60719,6825,141.91,2023-12-25,2023-10-03
228841,88034,5057,392.32,2023-10-10,2023-07-24
851457,23818,6958,370.44,2023-07-26,2023-12-03
824389,33671,4676,652.05,2023-01-15,2023-09-30
126915,23818,9622,765.22,2023-12-12,2023-02-27
950821,38675,9817,174.59,2023-02-11,2023-11-24
883494,20102,5349,863.21,2023-06-28,2023-08-07
237091,81708,6242,202.2,2023-03-04,2023-04-19
521899,38675,6250,790.79,2023-12-18,2023-10-06
576877,81708,1843,277.94,2023-08-19,2023-06-23
707962,59269,8257,140.5,2023-08-29,2023-11-24
455039,39346,8416,752.01,2023-02-21,2023-09-21
973789,86012,7003,150.4,2023-04-06,2023-11-11
676867,20102,3136,974.71,2023-08-10,2023-04-21
417540,20102,5536,904.63,2023-08-19,2023-07-06
358819,36035,4288,912.8,2023-08-25,2023-09-26
636085,33671,8221,823.31,2023-05-23,2023-08-17
722746,36035,4653,523.03,2023-06-20,2023-06-05
354021,86012,2492,59.87,2023-01-29,2023-07-08
285461,36035,7563,512.65,2023-02-05,2023-09-29
304838,87282,1599,533.62,2023-01-13,2023-01-02
867385,88034,2944,137.69,2023-06-09,2023-09-03
829539,20102,9353,187.54,2023-11-23,2023-07-29
917109,87282,7993,392.48,2023-07-06,2023-10-13
389267,38675,3501,453.13,2023-08-31,2023-01-13
322005,86012,5181,792.68,2023-03-27,2023-04-06
951131,59269,6597,748.21,2023-10-11,2023-08-09
754654,39346,1849,238.56,2023-03-07,2023-08-26
648650,81708,6219,115.57,2023-06-19,2023-04-04
418297,33671,9527,433.5,2023-02-14,2023-12-04
305101,86012,1613,983.65,2023-03-03,2023-09-26
155091,33671,4780,163.21,2023-05-14,2023-06-20
304728,68926,4756,608.88,2023-10-11,2023-04-04
398382,68926,2488,284.74,2023-01-28,2023-05-29
359875,81708,7642,389.88,2023-04-18,2023-04-22
444113,68926,2888,542.71,2023-02-13,2023-02-24
242165,87282,4866,23.94,2023-12-06,2023-12-03
688844,24926,7085,885.14,2023-10-13,2023-04-26
331100,87282,9240,990.14,2023-11-27,2023-05-23
227150,38675,8750,104.04,2023-05-08,2023-07-20
841618,68926,2389,154.47,2023-12-14,2023-06-29
982804,86012,5248,836.47,2023-08-19,2023-07-21
563716,23818,7301,540.64,2023-07-09,2023-02-22
487098,23818,5109,972.71,2023-08-13,2023-06-29
116925,24926,5401,824.11,2023-10-10,2023-11-09
496862,88034,8353,862.06,2023-05-01,2023-11-04
822049,87282,1034,877.17,2023-04-26,2023-05-17
325999,36035,1455,12.29,2023-08-21,2023-07-01
